round,status,report_path,next_round
R001,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R001/report.yaml,R002
R002,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R002/report.yaml,R003
R003,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R003/report.yaml,R004
R004,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R004/report.yaml,R005
R005,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R005/report.yaml,R006
R006,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R006/report.yaml,R007
R007,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R007/report.yaml,R008
R008,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R008/report.yaml,R009
R009,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R009/report.yaml,R010
R010,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R010/report.yaml,R011
R011,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R011/report.yaml,R012
R012,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R012/report.yaml,R013
R013,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R013/report.yaml,R014
R014,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R014/report.yaml,R015
R015,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R015/report.yaml,R016
R016,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R016/report.yaml,R017
R017,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R017/report.yaml,R018
R018,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R018/report.yaml,R019
R019,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R019/report.yaml,R020
R020,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R020/report.yaml,R021
R021,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R021/report.yaml,R022
R022,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R022/report.yaml,R023
R023,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R023/report.yaml,R024
R024,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R024/report.yaml,R025
R025,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R025/report.yaml,R026
R026,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R026/report.yaml,R027
R027,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R027/report.yaml,R028
R028,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R028/report.yaml,R029
R029,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R029/report.yaml,R030
R030,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R030/report.yaml,R031
R031,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R031/report.yaml,R032
R032,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R032/report.yaml,R033
R033,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R033/report.yaml,R034
R034,closed,/Users/hyeonwoo/Desktop/projects/kimbap/artifacts/console-review/R034/report.yaml,R035
